video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=QFjnudxcfv0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@Vogue,Vogue,Stories From Standing Rock | Vogue,74K weergaven,7 jaar geleden,"In North Dakota, thousands of Native Americans and allies have joined the Standing Rock Sioux Tribe in a fight to stop the Dakota ...",2024-01-28 22:10:35.946267
/watch?v=Iwroxq7pRSo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UC7s3H9tEelF5-vooCeJj3eQ,cityofthesun,City of the Sun – Standing Rock (Official Audio),50K weergaven,4 jaar geleden,"© 2017 City of the Sun, LLC City of the Sun is John Pita, Avi Snow, & Zach Para. Connect: Instagram: ...",2024-01-28 22:10:35.949904
/watch?v=uhVwVHC6_n0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@parkwayworship,Parkway Worship Ministry,The Solid Rock - from The Hymns Project (Lyric Video),1 mln. weergaven,6 jaar geleden,The Solid Rock Words by Edward Mote Music by William B. Bradbury Arranged by Phil Nitz from the collection The Hymns Project: ...,2024-01-28 22:10:35.953280
/watch?v=5MKWPWD3C-0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@IndianCountryToday,Indian Country Today,Dear Veterans: Welcome to Standing Rock,59K weergaven,7 jaar geleden,Dear Veterans: Welcome to Standing Rock by Longhouse Media.,2024-01-28 22:10:35.955954
/watch?v=okfEv-PHvUU&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@seanfeucht,Sean Feucht,Standing On The Rock - Let Us Worship Live from Philly - Sean Feucht - Meredith Mauldin,10K weergaven,1 jaar geleden,Sean Feucht & Meredith Mauldin sing 'Standing on the Rock' at Let Us Worship Live from Philly! Follow Sean: ...,2024-01-28 22:10:35.958503
/watch?v=1Rz_TkpysKk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ABCNews,ABC News,The Seventh Generation: Youth at the Heart of the Standing Rock Protests | ABC News,109K weergaven,6 jaar geleden,"For months, the International Indigenous Youth Council has helped steer the Standing Rock Sioux Tribe's opposition to the ...",2024-01-28 22:10:35.968998
/watch?v=hlvIwU8662w&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@lakotalaw,Lakota Peoples Law Project,No DAPL: Horses of Standing Rock,"4,7K weergaven",7 jaar geleden,"My brain isn't working today, in this weird surreal haze the only thing I could edit was horses, dogs, and a bunny... More content to ...",2024-01-28 22:10:35.971672
/watch?v=4FDuqYld8C8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@dividedfilms2413,Divided Films,Mni Wiconi: The Stand at Standing Rock,314K weergaven,7 jaar geleden,Mni Wiconi features water protectors from the Standing Rock Sioux Tribe and allies trying to stop the 1100-mile Dakota Access ...,2024-01-28 22:10:35.977332
/watch?v=mW2xb7JC3_M&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@Montbear6178,Jana Alayra,Standing on the Solid Rock,368K weergaven,6 jaar geleden,Authorized version by Jana Alayra. May this song bless you!,2024-01-28 22:10:44.716491
/watch?v=wD3-6JIUF7M&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@TED,TED,The Standing Rock resistance and our fight for indigenous rights | Tara Houska,196K weergaven,5 jaar geleden,"Still invisible and often an afterthought, indigenous peoples are uniting to protect the world's water, lands and history -- while ...",2024-01-28 22:10:44.726473
